zip,year,class,count
11434,2011-01-01T00:00:00Z,A,65
11434,2011-01-01T00:00:00Z,B,529
11434,2011-01-01T00:00:00Z,C,118
11435,2011-01-01T00:00:00Z,A,106
11435,2011-01-01T00:00:00Z,B,719
11435,2011-01-01T00:00:00Z,C,139
11436,2011-01-01T00:00:00Z,A,33
11436,2011-01-01T00:00:00Z,B,280
11436,2011-01-01T00:00:00Z,C,63
11691,2011-01-01T00:00:00Z,A,304
11691,2011-01-01T00:00:00Z,B,1283
11691,2011-01-01T00:00:00Z,C,172
11692,2011-01-01T00:00:00Z,A,52
11692,2011-01-01T00:00:00Z,B,314
11692,2011-01-01T00:00:00Z,C,54
11693,2011-01-01T00:00:00Z,A,19
11693,2011-01-01T00:00:00Z,B,121
11693,2011-01-01T00:00:00Z,C,21
11694,2011-01-01T00:00:00Z,A,32
11694,2011-01-01T00:00:00Z,B,139
11694,2011-01-01T00:00:00Z,C,15
NA,2011-01-01T00:00:00Z,A,4
NA,2011-01-01T00:00:00Z,B,18
10001,2012-01-01T00:00:00Z,A,41
10001,2012-01-01T00:00:00Z,B,106
10001,2012-01-01T00:00:00Z,C,17
10002,2012-01-01T00:00:00Z,A,210
10002,2012-01-01T00:00:00Z,B,675
10002,2012-01-01T00:00:00Z,C,302
10003,2012-01-01T00:00:00Z,A,180
10003,2012-01-01T00:00:00Z,B,507
10003,2012-01-01T00:00:00Z,C,102
10005,2012-01-01T00:00:00Z,A,1
10005,2012-01-01T00:00:00Z,B,5
10005,2012-01-01T00:00:00Z,C,9
10006,2012-01-01T00:00:00Z,A,1
10006,2012-01-01T00:00:00Z,B,1
10007,2012-01-01T00:00:00Z,A,3
10007,2012-01-01T00:00:00Z,B,31
10007,2012-01-01T00:00:00Z,C,9
10009,2012-01-01T00:00:00Z,A,195
10009,2012-01-01T00:00:00Z,B,644
10009,2012-01-01T00:00:00Z,C,321
10010,2012-01-01T00:00:00Z,A,38
10010,2012-01-01T00:00:00Z,B,108
10010,2012-01-01T00:00:00Z,C,18
10011,2012-01-01T00:00:00Z,A,127
10011,2012-01-01T00:00:00Z,B,436
10011,2012-01-01T00:00:00Z,C,119
10012,2012-01-01T00:00:00Z,A,107
10012,2012-01-01T00:00:00Z,B,312
10012,2012-01-01T00:00:00Z,C,68
10013,2012-01-01T00:00:00Z,A,56
10013,2012-01-01T00:00:00Z,B,293
10013,2012-01-01T00:00:00Z,C,92
10014,2012-01-01T00:00:00Z,A,93
10014,2012-01-01T00:00:00Z,B,350
10014,2012-01-01T00:00:00Z,C,91
10016,2012-01-01T00:00:00Z,A,104
10016,2012-01-01T00:00:00Z,B,323
10016,2012-01-01T00:00:00Z,C,105
10017,2012-01-01T00:00:00Z,A,25
10017,2012-01-01T00:00:00Z,B,88
10017,2012-01-01T00:00:00Z,C,7
10018,2012-01-01T00:00:00Z,A,29
10018,2012-01-01T00:00:00Z,B,56
10018,2012-01-01T00:00:00Z,C,19
10019,2012-01-01T00:00:00Z,A,112
10019,2012-01-01T00:00:00Z,B,348
10019,2012-01-01T00:00:00Z,C,96
10021,2012-01-01T00:00:00Z,A,50
10021,2012-01-01T00:00:00Z,B,233
10021,2012-01-01T00:00:00Z,C,46
10022,2012-01-01T00:00:00Z,A,69
10022,2012-01-01T00:00:00Z,B,210
10022,2012-01-01T00:00:00Z,C,55
10023,2012-01-01T00:00:00Z,A,58
10023,2012-01-01T00:00:00Z,B,148
10023,2012-01-01T00:00:00Z,C,40
10024,2012-01-01T00:00:00Z,A,121
10024,2012-01-01T00:00:00Z,B,431
10024,2012-01-01T00:00:00Z,C,106
10025,2012-01-01T00:00:00Z,A,351
10025,2012-01-01T00:00:00Z,B,1226
10025,2012-01-01T00:00:00Z,C,380
10026,2012-01-01T00:00:00Z,A,336
10026,2012-01-01T00:00:00Z,B,1038
10026,2012-01-01T00:00:00Z,C,288
10027,2012-01-01T00:00:00Z,A,561
10027,2012-01-01T00:00:00Z,B,1886
10027,2012-01-01T00:00:00Z,C,536
10028,2012-01-01T00:00:00Z,A,113
10028,2012-01-01T00:00:00Z,B,360
10028,2012-01-01T00:00:00Z,C,106
10029,2012-01-01T00:00:00Z,A,571
10029,2012-01-01T00:00:00Z,B,1844
10029,2012-01-01T00:00:00Z,C,513
10030,2012-01-01T00:00:00Z,A,580
10030,2012-01-01T00:00:00Z,B,1788
10030,2012-01-01T00:00:00Z,C,591
10031,2012-01-01T00:00:00Z,A,1485
10031,2012-01-01T00:00:00Z,B,4886
10031,2012-01-01T00:00:00Z,C,1901
10032,2012-01-01T00:00:00Z,A,1398
10032,2012-01-01T00:00:00Z,B,3951
10032,2012-01-01T00:00:00Z,C,1537
10033,2012-01-01T00:00:00Z,A,906
10033,2012-01-01T00:00:00Z,B,2487
10033,2012-01-01T00:00:00Z,C,1002
10034,2012-01-01T00:00:00Z,A,619
10034,2012-01-01T00:00:00Z,B,1959
10034,2012-01-01T00:00:00Z,C,658
10035,2012-01-01T00:00:00Z,A,378
10035,2012-01-01T00:00:00Z,B,1292
10035,2012-01-01T00:00:00Z,C,300
10036,2012-01-01T00:00:00Z,A,104
10036,2012-01-01T00:00:00Z,B,422
10036,2012-01-01T00:00:00Z,C,121
10037,2012-01-01T00:00:00Z,A,161
10037,2012-01-01T00:00:00Z,B,464
10037,2012-01-01T00:00:00Z,C,84
10038,2012-01-01T00:00:00Z,A,11
10038,2012-01-01T00:00:00Z,B,28
10038,2012-01-01T00:00:00Z,C,22
10039,2012-01-01T00:00:00Z,A,297
10039,2012-01-01T00:00:00Z,B,1011
10039,2012-01-01T00:00:00Z,C,373
10040,2012-01-01T00:00:00Z,A,941
10040,2012-01-01T00:00:00Z,B,2574
10040,2012-01-01T00:00:00Z,C,1037
10044,2012-01-01T00:00:00Z,A,9
10044,2012-01-01T00:00:00Z,B,37
10065,2012-01-01T00:00:00Z,A,80
10065,2012-01-01T00:00:00Z,B,270
10065,2012-01-01T00:00:00Z,C,57
10069,2012-01-01T00:00:00Z,B,2
10075,2012-01-01T00:00:00Z,A,41
