ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,GEOID
"17022",8600000US17022,"17022","142488827","576318","42043024002"
"17022",8600000US17022,"17022","142488827","576318","42043024102"
"17022",8600000US17022,"17022","142488827","576318","42043024001"
"17022",8600000US17022,"17022","142488827","576318","42071010802"
"17022",8600000US17022,"17022","142488827","576318","42075004000"
"18017",8600000US18017,"18017","41852146","321734","42095017703"
"18017",8600000US18017,"18017","41852146","321734","42095017704"
"18017",8600000US18017,"18017","41852146","321734","42095017605"
"18017",8600000US18017,"18017","41852146","321734","42095010100"
"18017",8600000US18017,"18017","41852146","321734","42095010300"
"18017",8600000US18017,"18017","41852146","321734","42095010400"
"18017",8600000US18017,"18017","41852146","321734","42095010500"
"18017",8600000US18017,"18017","41852146","321734","42077009100"
"18017",8600000US18017,"18017","41852146","321734","42077009200"
"18017",8600000US18017,"18017","41852146","321734","42095017603"
"18017",8600000US18017,"18017","41852146","321734","42095011300"
"18017",8600000US18017,"18017","41852146","321734","42095017702"
"18017",8600000US18017,"18017","41852146","321734","42077005902"
"18017",8600000US18017,"18017","41852146","321734","42095016500"
"18017",8600000US18017,"18017","41852146","321734","42095016901"
"18017",8600000US18017,"18017","41852146","321734","42095017604"
"18017",8600000US18017,"18017","41852146","321734","42095010601"
"18017",8600000US18017,"18017","41852146","321734","42095010602"
"18017",8600000US18017,"18017","41852146","321734","42095018001"
"18017",8600000US18017,"18017","41852146","321734","42095017800"
"18017",8600000US18017,"18017","41852146","321734","42095016400"
"18017",8600000US18017,"18017","41852146","321734","42095010200"
"12723",8600000US12723,"12723","81985469","1297007","42127960100"
"12723",8600000US12723,"12723","81985469","1297007","42127960500"
"17527",8600000US17527,"17527","52906001","274989","42071014302"
"17527",8600000US17527,"17527","52906001","274989","42071014202"
"17527",8600000US17527,"17527","52906001","274989","42029305101"
"17527",8600000US17527,"17527","52906001","274989","42029311800"
"17527",8600000US17527,"17527","52906001","274989","42071012702"
"17527",8600000US17527,"17527","52906001","274989","42071014201"
"17527",8600000US17527,"17527","52906001","274989","42029307300"
"17527",8600000US17527,"17527","52906001","274989","42029305102"
"17921",8600000US17921,"17921","97751045","83756","42107001400"
"17921",8600000US17921,"17921","97751045","83756","42107001300"
"17921",8600000US17921,"17921","97751045","83756","42097081800"
"17921",8600000US17921,"17921","97751045","83756","42097080900"
"17921",8600000US17921,"17921","97751045","83756","42107000901"
"17921",8600000US17921,"17921","97751045","83756","42107000902"
"17921",8600000US17921,"17921","97751045","83756","42107001000"
"17921",8600000US17921,"17921","97751045","83756","42107001200"
"17921",8600000US17921,"17921","97751045","83756","42107001100"
"17921",8600000US17921,"17921","97751045","83756","42037051500"
"18925",8600000US18925,"18925","27816696","228203","42017105100"
"18925",8600000US18925,"18925","27816696","228203","42017104902"
"18925",8600000US18925,"18925","27816696","228203","42017104601"
"18925",8600000US18925,"18925","27816696","228203","42017104503"
"18925",8600000US18925,"18925","27816696","228203","42017104901"
"18925",8600000US18925,"18925","27816696","228203","42017104502"
"18704",8600000US18704,"18704","25918688","1163000","42079200200"
"18704",8600000US18704,"18704","25918688","1163000","42079211500"
"18704",8600000US18704,"18704","25918688","1163000","42079211900"
"18704",8600000US18704,"18704","25918688","1163000","42079201200"
"18704",8600000US18704,"18704","25918688","1163000","42079200100"
"18704",8600000US18704,"18704","25918688","1163000","42079213200"
"18704",8600000US18704,"18704","25918688","1163000","42079211400"
"18704",8600000US18704,"18704","25918688","1163000","42079211600"
"18704",8600000US18704,"18704","25918688","1163000","42079212100"
"18704",8600000US18704,"18704","25918688","1163000","42079212200"
"18704",8600000US18704,"18704","25918688","1163000","42079212700"
"18704",8600000US18704,"18704","25918688","1163000","42079212800"
"18704",8600000US18704,"18704","25918688","1163000","42079213400"
"18704",8600000US18704,"18704","25918688","1163000","42079212900"
"18704",8600000US18704,"18704","25918688","1163000","42079213000"
"18704",8600000US18704,"18704","25918688","1163000","42079213100"
"18704",8600000US18704,"18704","25918688","1163000","42079213300"
"18704",8600000US18704,"18704","25918688","1163000","42079212300"
"19601",8600000US19601,"19601","9648902","501810","42011011101"
"19601",8600000US19601,"19601","9648902","501810","42011012701"
"19601",8600000US19601,"19601","9648902","501810","42011000900"
"19601",8600000US19601,"19601","9648902","501810","42011001000"
"19601",8600000US19601,"19601","9648902","501810","42011001100"
"19601",8600000US19601,"19601","9648902","501810","42011001300"
"19601",8600000US19601,"19601","9648902","501810","42011001400"
"19601",8600000US19601,"19601","9648902","501810","42011001700"
"19601",8600000US19601,"19601","9648902","501810","42011001800"
"19601",8600000US19601,"19601","9648902","501810","42011001900"
"19601",8600000US19601,"19601","9648902","501810","42011002500"
"19601",8600000US19601,"19601","9648902","501810","42011011200"
"19601",8600000US19601,"19601","9648902","501810","42011000300"
"19601",8600000US19601,"19601","9648902","501810","42011000500"
"19601",8600000US19601,"19601","9648902","501810","42011000400"
"19601",8600000US19601,"19601","9648902","501810","42011010903"
"19601",8600000US19601,"19601","9648902","501810","42011000100"
"19601",8600000US19601,"19601","9648902","501810","42011000200"
"19601",8600000US19601,"19601","9648902","501810","42011001200"
"19601",8600000US19601,"19601","9648902","501810","42011001600"
"19601",8600000US19601,"19601","9648902","501810","42011010304"
"17857",8600000US17857,"17857","69324158","6079641","42093050400"
"17857",8600000US17857,"17857","69324158","6079641","42093050200"
"17857",8600000US17857,"17857","69324158","6079641","42119090400"
"17857",8600000US17857,"17857","69324158","6079641","42097080600"
"17857",8600000US17857,"17857","69324158","6079641","42097080400"
"17857",8600000US17857,"17857","69324158","6079641","42097081900"
"17857",8600000US17857,"17857","69324158","6079641","42097080700"
"17857",8600000US17857,"17857","69324158","6079641","42097080500"
"17857",8600000US17857,"17857","69324158","6079641","42119090600"
"17857",8600000US17857,"17857","69324158","6079641","42109070100"
"18325",8600000US18325,"18325","111439942","1792280","42103950901"
"18325",8600000US18325,"18325","111439942","1792280","42103950902"
"18325",8600000US18325,"18325","111439942","1792280","42089300201"
"18325",8600000US18325,"18325","111439942","1792280","42089300317"
"18325",8600000US18325,"18325","111439942","1792280","42089300204"
"18325",8600000US18325,"18325","111439942","1792280","42089300101"
"18453",8600000US18453,"18453","130926489","3355285","42127960100"
"18453",8600000US18453,"18453","130926489","3355285","42127960200"
"18453",8600000US18453,"18453","130926489","3355285","42127960400"
"18453",8600000US18453,"18453","130926489","3355285","42127960300"
"17036",8600000US17036,"17036","70624730","841260","42043024601"
"17036",8600000US17036,"17036","70624730","841260","42043024602"
"17036",8600000US17036,"17036","70624730","841260","42043024400"
"17036",8600000US17036,"17036","70624730","841260","42043022702"
"17036",8600000US17036,"17036","70624730","841260","42043023601"
"17036",8600000US17036,"17036","70624730","841260","42043024105"
"17036",8600000US17036,"17036","70624730","841260","42043024104"
"17036",8600000US17036,"17036","70624730","841260","42043024300"
"17036",8600000US17036,"17036","70624730","841260","42043022604"
"17036",8600000US17036,"17036","70624730","841260","42043024101"
"17036",8600000US17036,"17036","70624730","841260","42043024002"
"17036",8600000US17036,"17036","70624730","841260","42043024503"
"17036",8600000US17036,"17036","70624730","841260","42043022800"
"17036",8600000US17036,"17036","70624730","841260","42043024102"
"17036",8600000US17036,"17036","70624730","841260","42043024001"
"17036",8600000US17036,"17036","70624730","841260","42043024502"
"17578",8600000US17578,"17578","39672973","315986","42071010102"
"17578",8600000US17578,"17578","39672973","315986","42071010201"
"17578",8600000US17578,"17578","39672973","315986","42071010104"
"17578",8600000US17578,"17578","39672973","315986","42071012900"
"17578",8600000US17578,"17578","39672973","315986","42071012601"
"17578",8600000US17578,"17578","39672973","315986","42071012502"
"17578",8600000US17578,"17578","39672973","315986","42071010202"
"17578",8600000US17578,"17578","39672973","315986","42071012404"
"19711",8600000US19711,"19711","70921065","6054","42029306501"
"19711",8600000US19711,"19711","70921065","6054","42029306600"
"19074",8600000US19074,"19074","2014554","95819","42045403601"
"19074",8600000US19074,"19074","2014554","95819","42045403602"
"19074",8600000US19074,"19074","2014554","95819","42045403502"
"19074",8600000US19074,"19074","2014554","95819","42045403800"
"19074",8600000US19074,"19074","2014554","95819","42045403402"
"19074",8600000US19074,"19074","2014554","95819","42045403501"
"19074",8600000US19074,"19074","2014554","95819","42045403701"
"19074",8600000US19074,"19074","2014554","95819","42045404004"
"17768",8600000US17768,"17768","76095230","235868","42081010100"
"17768",8600000US17768,"17768","76095230","235868","42113960201"
"17768",8600000US17768,"17768","76095230","235868","42015951300"
"17768",8600000US17768,"17768","76095230","235868","42015951400"
"18220",8600000US18220,"18220","2408569","0","42107000300"
"18220",8600000US18220,"18220","2408569","0","42107000400"
"17834",8600000US17834,"17834","13294448","93042","42097080900"
"17834",8600000US17834,"17834","13294448","93042","42097082400"
